keyword,asin,url,ad,title,price,real_price,rating,rating_count,thumbnail_url
ipad,B07H9HGTC6,https://www.amazon.com/Apple-Generation-Cellular-Silver-Refurbished/dp/B07H9HGTC6,False,"Apple iPad 9.7in 6th Generation WiFi + Cellular (32GB, Silver) (Renewed)",$182.99,,4.5,181,https://m.media-amazon.com/images/I/81itYxKtJCL._AC_UY218_.jpg
ipad,B0716XPW48,https://www.amazon.com/Apple-Display-Resolution-FaceTime-Battery/dp/B0716XPW48,False,"Apple iPad Mini 4 Wi-Fi, 7.9in Retina Display with 2048 x 1536 Resolution, 7.9in Retina Display, A8 Chip, Touch ID, FaceTime, Up to 10 Hours of Battery Life - 128GB - Space Gray (Renewed)",$179.00,$229.00,4.2,209,https://m.media-amazon.com/images/I/81itYxKtJCL._AC_UY218_.jpg
ipad,B01KAKS84E,https://www.amazon.com/Apple-Tablet-256GB-Wi-FI-Refurbished/dp/B01KAKS84E,False,"Apple iPad Pro 12.9in Tablet (256GB Wi-FI, Space Gray)(Renewed)",$449.00,$499.99,4.3,"1,575",https://m.media-amazon.com/images/I/81rBUAM2NpL._AC_UY218_.jpg
ipad,B07CFWLW3G,https://www.amazon.com/Apple-Retina-Display-128GB-Wi-Fi/dp/B07CFWLW3G,False,"Apple iPad Mini 4, 128GB, Space Gray - WiFi (Renewed)",$199.81,,4.3,"2,258",https://m.media-amazon.com/images/I/81rBUAM2NpL._AC_UY218_.jpg
ipad,B00TREI06Q,https://www.amazon.com/Apple-iPad-Air-Gold-Refurbished/dp/B00TREI06Q,False,"Apple iPad Air 2, 64 GB, Gold, (Renewed)",$179.00,,4.2,"1,269",https://m.media-amazon.com/images/I/81rBUAM2NpL._AC_UY218_.jpg
ipad,B078J2DMSW,https://www.amazon.com/Apple-Wi-Fi-Model-256GB-Refurbished/dp/B078J2DMSW,False,"Apple iPad Pro 2nd 12.9in with Wi-Fi 2017 Model, 256GB, Grey (Renewed)",$379.00,,4.4,"1,798",https://m.media-amazon.com/images/I/81rBUAM2NpL._AC_UY218_.jpg
ipad,B09J6K6Y21,https://www.amazon.com/2021-Apple-iPad-Mini-Wi-Fi/dp/B09J6K6Y21,False,"2021 Apple iPad Mini 6 (8.3 inch, Wi-Fi, 64GB) Space Gray (Renewed)",,,4.5,555,https://m.media-amazon.com/images/I/81rBUAM2NpL._AC_UY218_.jpg
ipad,B00TREI098,https://www.amazon.com/Apple-iPad-Space-Gray-Refurbished/dp/B00TREI098,False,"Apple iPad Air 2, 128 GB, Space Gray, (Renewed)",$169.00,,4.4,"1,172",https://m.media-amazon.com/images/I/61wDxPfqfJL._AC_UY218_.jpg
ipad,B07DP4WVBQ,https://www.amazon.com/Apple-MH322LL-Cellular-Silver-Refurbished/dp/B07DP4WVBQ,False,"Apple iPad Air 2 MH322LL/A (128GB, Wi-Fi + Cellular, Silver) 2014 Model (Renewed)",$162.99,$172.88,4.2,112,https://m.media-amazon.com/images/I/61wDxPfqfJL._AC_UY218_.jpg
ipad,B07F3NPPX4,https://www.amazon.com/Apple-ipad-64GB-Cellular-Refurbished/dp/B07F3NPPX4,False,Apple ipad air 2 64GB Cellular Gray 4G (Renewed),$169.99,$184.00,4.5,44,https://m.media-amazon.com/images/I/61wDxPfqfJL._AC_UY218_.jpg
